FolderName,TotalSizeInMB,TopLevelSizeInMB,TopLevelItemCount
O:\P22119 - P883 Hadnot Point Mess Hall - Camp LeJeune,31487.29,0,17
O:\P22121 - William & Mary P3 College,18724.9,0.01,16
O:\22055 - Great Wolf Lodge - Fitchburg,17336.9,0.1,20
O:\P24024 - BYU Provo Missionary Training Center,17116.58,0,15
O:\23042 - Loews Arlington,14524.6,2.47,21
O:\0000 - Proposals,11863.58,0,140
O:\23062 - Loews Coronado Bay,11457.21,0.05,16
O:\P23079 - Inspira Mullica Hill,11354.17,0,17
O:\P24100 - UBC - Lower Mall,11200.48,0,14
O:\P22128 - P158 BEQ Marine Barracks,10617.31,0.23,19
O:\24006 - Cincinnati Convention Center Hotel,9679.53,0.05,16
O:\24090 - GWL Garden Grove,9359.42,0.03,20
O:\21088 - Great Wolf Lodge - Jackson,8550.83,0.04,19
O:\22043 - Ponte Vedra - Surf Club,8035.18,4.52,16
O:\19054 - AC Hotel - Symphony Park,6352.38,0,14
O:\23013 - Lake Oconee Resort,6135.99,0.29,18
O:\22044 - Ponte Vedra - Sports Club,6002,1.5,15
O:\19120 - Hilton - Rosslyn,5867.61,3,16
O:\24005 - 1587 Prime Restaurant,5154.77,5.7,16
O:\24058 - Reverb - Maritime Park,4975.68,0,15
O:\P23073 - Fort Belvoir Bldg 20 Officers Club,4864.91,44.96,25
O:\P22102 - McNeese - Student Union,3555.84,0,15
O:\20027 - Oakleaf Village,3213.49,8.05,23
"O:\22018 - Four Points - Piarco, Trinidad",3193.54,0,14
O:\24007 - Saddlebrook Resort,2994.78,0,15
O:\24070 - Hurstmont Estates,2726.51,0.06,15
O:\P22099 - Amber Grace Community,2706.8,0,15
O:\24030 - Omni Hotel - Raleigh,2664.13,0,15
O:\23049 - Courtyard - Timehri Guyana,2409.84,0,1
O:\20051 - CSH - West Orange,2348.83,0,14
O:\P24017 - PGCC Student Center,2321.78,0,16
O:\23045 - Arbor Terrace at Peachtree(Sandy Springs),2183.96,0,14
O:\23060 - Embassy Suites San Marcos,1951.83,0,14
O:\19040 - Shelbourne Mount Pleasant,1803.5,0,14
O:\22111 - Birdwood Mansion,1756.51,0,14
O:\24077 - Oakmont Gardens,1752.44,0,14
O:\23029 - Cabot Citrus Farms,1750.85,0,15
O:\P25023 - Kent School,1658.03,0,15
O:\22084 - Loews Regency - New York,1649.44,0,15
O:\P24067 - MSU O'Connell Hall,1422.37,3.17,18
O:\22002 - BSL - Scotch Plains,1337.94,0,14
O:\18075 - Shelbourne Chesterfield,1304.19,0.01,15
O:\22093 - Heritage Potomac,1285.96,0.02,17
O:\25001 - Sheraton Sacramento,1274.99,0.37,16
O:\22110 - AC Greensboro,1118.28,0,15
O:\24014 - Loews Vanderbilt,1092.59,0,14
O:\P23033 - Lilly Library Cafe at Duke University,1049.88,0.04,16
O:\22021 - VSU - Summerseat,1008.37,0,14
O:\P24047 - VMI - Crozet Hall,998.1,0.44,19
O:\23030 - Embassy Suites Concord,821.26,0,14
O:\22017 - Artena Plus,756,0,14
O:\21066 - 415 Colorado,747.15,0,14
O:\19119 - Melody Living of Aurora,641.47,1.85,17
O:\24098 - AMBAR Orlando,595.3,0.01,15
O:\24078 - Jefferson Hotel Church,592.39,0,14
O:\24032 - Charleston Place - Laundry,558.96,0,14
O:\PKC PROJECTS,518.32,310.83,15
O:\23066 - Delaney Severna Park,512.51,0,14
O:\P24044 - AACC Hospitality Culinary And Tourism Training Facility,507.28,0,14
O:\24057 - Loews Philadelphia Hotel,493.52,0,14
O:\24061 - AC - Miami Gardens,485.72,0,14
O:\24039 - Islands Buffet - Universal,458.39,0,14
O:\23082 - Loews Atlanta,441.98,0,14
O:\24072 - Brookdale Spa,424.18,0,14
O:\24059 - Clifton Farms,418.45,0,14
O:\22001 - BSL - East Brunswick,409.42,0,14
O:\19042 - Towneplace - Miramar Beach,403.84,0,15
O:\22118 - Asheville Senior Living- River Blue Active Adult,388.52,0,15
O:\24089 - Fairfield Inn - Anaheim,354.64,0,14
O:\22015 - Fairlington UMC,311.13,0,14
O:\22032 - Garth Newel Music Center,298.25,0,14
O:\00001 - Test,273.4,0.09,13
O:\24065 - Kensington - White Plains,219.14,0.51,15
O:\P23034 - Virtua Health Cafe,210.6,0,15
O:\22103 - St. Paul's Parish,206.06,0,14
O:\25002 - Benchmark - East Islip,134.18,0,14
O:\25008 - Rehoboth Beach Senior Living,39.94,0,14
O:\Users,26.57,26.57,2
O:\25030 - Gaylord National Harbor - PDCM,18.27,0,14
O:\SHORTCUTS,0.01,0.01,8
